Program Name,Program Type,Location,Phone,Email,Website,Languages,Age Groups,Curriculum,Schools Served
Kitsilano Area Child Care Centre,Group Daycare (30mths - School Age),2041 West 6th Avenue,604-732-6327,kitsarea@kaccs.ca,https://www.kaccs.ca/home,English; Russian; Italian,2.5 - 5 yrs,Play Based,
Kitsilano Neighbourhood House Hudson Preschool,Preschool (30mths - School Age),1530 Maple Street,604-736-3588,KellyH@kitshouse.org,,English,2.5 - 5 yrs,,
Kitsilano Neighbourhood House Hudson School Age Care (School Age on School Grounds),Group Care School Age,1530 Maple Street,604-731-1618,KellyH@kitshouse.org,,English,5 - 12 yrs,,Hudson
Kivan Club,Recreational Care,2875 St.George Street,604-879-9118,kivanclub@bgcbc.ca,https://www.bgcbc.ca/locations/kivan/,English,5 - 12 yrs,,
Kiwassa in Norah Davis (KIND) Out of School Care,Group Care School Age,2320 Franklin Street,604-254-5401,childcare@kiwassa.ca,https://www.kiwassa.ca/our-services/childcare-programs/,English,5 - 12 yrs,,Tillicum Annex
Kiwassa Longhouse Out of School Care,Group Care School Age,2595 Franklin Street,604-255-1175,childcare@kiwassa.ca,,English; Cantonese; Portugese,5 - 12 yrs,,Hastings; Tillicum Annex
Kiwassa Out of School Care,Group Care School Age,2425 Oxford Street,604-254-5401,childcare@kiwassa.ca,https://www.kiwassa.ca/our-services/childcare-programs/,English,5 - 12 yrs,,Tillicum; Hastings
Kolobok Licensed Family Child Care,Licensed Family Child Care,5097 Elgin Street,604-210-5007,alla.ca@mail.ru,,English,5 - 12 yrs; 2.5 - 5 yrs; 0 - 18 mo; 19 - 36 mo,,
L'Ecole Bilingue Kindercare and Les Grands Enfants,Group Care School Age,Room 160 A - 1166 W 14th Ave,604-739-7200,kindercare648@gmail.com,,English,5 - 12 yrs,,L'Ecole Bilingue
La Calypso Preschool,Preschool (30mths - School Age),#227 - 1555 West 7th Avenue,778-373-4000,lacalypso@cousteauschool.org,http://www.lacalypso.org/,English; French,2.5 - 5 yrs,,
La Garderie,Group Care School Age,Room 160 B - 1166 W 14th Ave,604-736-3238,lagarderievancouver@gmail.com,,English,5 - 12 yrs,,L'Ecole Bilingue
La Petite Ecole,Preschool (30mths - School Age),4037 West 32th Avenue,604-221-8719,shannon@lapetiteecole.ca,,English,2.5 - 5 yrs,Reggio Inspired,
La Petite France In-Home Multi-Age Child Care,In-Home Multi-Age Child Care,3667 William Street,604-299-0303,najatsinc@hotmail.com,,English,5 - 12 yrs; 2.5 - 5 yrs; 0 - 18 mo; 19 - 36 mo,,
Lady Bug Licensed Family Child Care,Licensed Family Child Care,#100-1250 Nicola Street,604-681-2967,acimov25@telus.net,,English; Serbo-Croatian,2.5 - 5 yrs; 0 - 18 mo; 19 - 36 mo,,
Langara Learning Centre,Group Daycare (under 36 mths),142 East 51st Avenue,778-889-9654,,,English,0 - 18 mo; 19 - 36 mo,,
Langara Stars Multi-Age Daycare,Multi-Age Child Care,7430 Cambie Street,778-865-4842,zfarro@gmail.com,,English; Farsi; Thai,5 - 12 yrs; 2.5 - 5 yrs; 0 - 18 mo,Montessori,Sexsmith
Laugh And Learn Licensed Family Child Care,Licensed Family Child Care,#101 - 503 West 16th Avenue,604-439-8454,vesna.spasovski67@gmail.com,,English; Serbo-Croatian,2.5 - 5 yrs; 0 - 18 mo; 19 - 36 mo,,
Laura Secord Out of School Care,Group Care School Age,2500 Lakewood Drive,604-874-4233,secord@cedarcottage.org,http://www.cedarcottage.org/,English,5 - 12 yrs,,Secord
Le Cerisier Multi-Age Child Care,Multi-Age Child Care,2 - 2571 Napier Street,604-700-4277,le.cerisier.garderie@gmail.com,,English; French,2.5 - 5 yrs,,
Le Soleil Montessori Children's House,Group Daycare (30mths - School Age),6318 Tyne Street,604-436-1223,lesoleilschool@gmail.com,,English; French,2.5 - 5 yrs,Montessori,
Le Soleil Montessori Infant Community LTD.,Group Daycare (under 36 mths),5398 Nanaimo Street,778-689-4608,lesoleilschool.ic@gmail.com,,English,0 - 18 mo; 19 - 36 mo,Montessori,
Learn and Play In-Home Multi-Age Child Care,In-Home Multi-Age Child Care,111 East 47th Avenue,778-551-1372,amarjeetkaur90@icloud.com,,English,5 - 12 yrs; 2.5 - 5 yrs; 0 - 18 mo; 19 - 36 mo,,
Legacy Leaders Academy For Boys,Preschool (30mths - School Age),619 West 45th Avenue,604-564-6460,llaadmin@shaw.ca,,English,2.5 - 5 yrs,,
Les Bons Amis - Good Friends Licensed Family Child Care,Licensed Family Child Care,#414 - 1155 Pacific Street,604-730-0323,vinograd@hotmail.com,,English; Serbian,2.5 - 5 yrs; 0 - 18 mo; 19 - 36 mo,,
Les Petits Artistes Montessori Centre,Group Daycare (30mths - School Age),3146 Ash Street,604-569-1206,patricia@lpaschool.net,,English,2.5 - 5 yrs,Montessori,
LIFT Early Learning Centre,Group Daycare (under 36 mths),7768 Heather Street,778-952-6808,janasun1102@gmail.com,http://www.liftearlylearning.com/,English,0 - 18 mo; 19 - 36 mo,,
LIFT Early Learning Centre,Group Daycare (30mths - School Age),2485 West 20th Avenue,604-738-7880,liftearlylearning@gmail.com,http://www.liftearlylearning.com/,English,2.5 - 5 yrs,,
LIFT Early Learning Centre,Group Daycare (under 36 mths),4069 West 40th Avenue,778-952-6808,liftearlylearning@gmail.com,https://www.liftearlylearning.com/,English,0 - 18 mo; 19 - 36 mo,,
LIFT Early Learning Centre (3-5 Program),Group Daycare (30mths - School Age),1518 West 68th Avenue,778-952-6808,liftearlylearning@gmail.com,http://www.liftearlylearning.com/,English,2.5 - 5 yrs,,
Lil Bee's Licensed Family Child Care,Licensed Family Child Care,4411 Commercial Street,604-617-7730,lilbeesfcc@gmail.com,,English,5 - 12 yrs; 2.5 - 5 yrs; 0 - 18 mo; 19 - 36 mo,,Selkirk Annex; Selkirk
Linda Childcare In-Home Multi-Age Child Care,In-Home Multi-Age Child Care,4642 West 15th Avenue,236-512-8772,linda2childcare@gmail.com,,English,5 - 12 yrs; 2.5 - 5 yrs,,
Little Bear In-Home Multi-Age Child Care,In-Home Multi-Age Child Care,8375 Fremlin Street,778-316-7385,vivianlong3686@yahoo.com,http://www.little-bear-childcare.com/,English; Mandarin; Cantonese,2.5 - 5 yrs; 0 - 18 mo; 19 - 36 mo,,
Little Cedar Montessori Children's Community,Group Daycare (30mths - School Age),1530 East 22nd Avenue,604-872-3303,info@littlecedar.ca,https://www.littlecedar.ca/,English; Spanish; Tagalog,2.5 - 5 yrs,Montessori,
Little Cedar School Age Care,Group Care School Age,1530 East 22 Avenue,604-872-3303,info@littlecedar.ca,https://www.littlecedar.ca/,English,5 - 12 yrs,,Selkirk Annex; Selkirk
Little Cedar School Age Care - Commercial Street,Group Care School Age,3472 Commercial Street,778-998-3303,mark@littlecedar.ca,https://www.littlecedar.ca/,English,5 - 12 yrs,,St. Joseph's; Selkirk
Little Cedar Trees,Group Daycare (30mths - School Age),1607 East Hastings Street,604-251-4844,,https://vafcs.org/,English,2.5 - 5 yrs,,
Little Daisy In-Home Multi-Age Child Care,In-Home Multi-Age Child Care,738 West 49 Avenue,604-767-7347,margareta91@hotmail.com,http://www.daisychildcare.ca/,English; French; Romanian,2.5 - 5 yrs; 0 - 18 mo; 19 - 36 mo,,
Little Doodles Licensed Family Child Care,Licensed Family Child Care,1826 West 10th Avenue,604-880-1249,theromfidel@gmail.com,,English; Tagalog,5 - 12 yrs; 2.5 - 5 yrs; 0 - 18 mo; 19 - 36 mo,,Tennyson
Little Ducklings Daycare Licensed Family Child Care,Licensed Family Child Care,7081 Sophia Street,778-706-2595,littleducklingsdaycarevan@gmail.com,,English,5 - 12 yrs; 2.5 - 5 yrs; 0 - 18 mo; 19 - 36 mo,,
Little Ducklings Licensed Family Child Care,Licensed Family Child Care,7228 Knight Street,604-322-2942,shaziahayatldd@gmail.com,,English; Urdu; Punjabi; Hindi,5 - 12 yrs; 2.5 - 5 yrs; 0 - 18 mo; 19 - 36 mo,,
Little Fish Daycare (Multi-Age),Multi-Age Child Care,2319 East 17th Avenue,604-336-9730,littlefish.jko@gmail.com,,English,5 - 12 yrs; 2.5 - 5 yrs,,
Little Folks Licensed Family Child Care,Licensed Family Child Care,2695 West 12th Avenue,604-321-3375,jaskumar@hotmail.com,,English; Hindi,2.5 - 5 yrs; 0 - 18 mo; 19 - 36 mo,,
Little Fox In-Home Multi-Age Child Care,Licensed Family Child Care,3263 W King Edward Ave,778-987-8812,littlefoxchildcareinfo@gmail.com,http://www.littlefoxchildcare.ca/,English,2.5 - 5 yrs; 0 - 18 mo; 19 - 36 mo,,
Little Monsters Academy,Preschool (30mths - School Age),5888 Fraser Street,778-522-9406,enroll@littlemonsters.ca,https://littlemonsters.academy/,English,2.5 - 5 yrs,,
Little Monsters Academy - Mountain View,Preschool (30mths - School Age),4866 Fraser Street,778-522-9406,academonsters@gmail.com,,English,2.5 - 5 yrs,,
Little Mountain Child Development Centre,Group Daycare (30mths - School Age),425 East 29th Avenue,604-876-0517,cdc@lmnhs.bc.ca,http://www.lmnhs.bc.ca/,English; Punjabi; Hindi,2.5 - 5 yrs,Play Based,
Little Mountain Montessori School,Preschool (30mths - School Age),304 East 26th Avenue,604-709-9621,aubinobrien@yahoo.ca,,English; Mandarin,2.5 - 5 yrs,Montessori,
Little Mountain Out of School Care (LMOSC),Group Care School Age,1300 East 29th Avenue,604-713-5565,christie_akhurst@lmnhs.bc.ca,,English,5 - 12 yrs,,McBride Annex; McBride
Little Munchkin Daycare,Group Daycare (under 36 mths),1319 West 52 Avenue (Upper Floor),604-655-1895,inquiry@littlemunchkindaycare.ca,http://www.komelsdaycare.com/,English,0 - 18 mo; 19 - 36 mo,,
Little Munchkin Daycare Ltd.,Group Daycare (under 36 mths),1317 West 52nd Avenue,604-655-1895,inquiry@littlemunchkindaycare.ca,,English,0 - 18 mo; 19 - 36 mo,,
Little Munchkin Daycare Ltd.,Group Daycare (30mths - School Age),1431 West 53rd Avenue,604-655-1895,inquiry@littlemunchkindaycare.ca,https://littlemunchkindaycare.ca/,English,2.5 - 5 yrs,,
Little Munchkin Daycare Ltd.,Group Daycare (under 36 mths),2207 West 15th Avenue,604-655-1895,inquiry@littlemunchkindaycare.ca,https://littlemunchkindaycare.ca/,English,0 - 18 mo; 19 - 36 mo,,
Little Munchkin Daycare Ltd.,Group Daycare (under 36 mths),1068 West 29th Avenue,604-655-1895,inquiry@littlemunchkindaycare.ca,,English,0 - 18 mo; 19 - 36 mo,,
Little Munchkin Daycare Ltd.,Group Daycare (under 36 mths),1070 West 29th Avenue,604-655-1895,inquiry@littlemunchkindaycare.ca,,English,0 - 18 mo; 19 - 36 mo,,
Little Munchkin Daycare Ltd.,Group Daycare (under 36 mths),3750 West 29th Avenue,604-655-1895,inquiry@littlemunchkindaycare.ca,,English,0 - 18 mo; 19 - 36 mo,,
Little Munchkin Daycare Ltd.,Group Daycare (under 36 mths),3752 West 29th Avenue,604-655-1895,inquiry@littlemunchkindaycare.ca,,English,0 - 18 mo; 19 - 36 mo,,
Little Munchkin Daycare Ltd.,Group Daycare (under 36 mths),1469 Balfour Avenue,604-655-1895,inquiry@littlemunchkindaycare.ca,,English,0 - 18 mo; 19 - 36 mo,,
Little Munchkin Daycare Ltd.,Group Daycare (under 36 mths),1467 Balfour Avenue,604-655-1895,inquiry@littlemunchkindaycare.ca,,English,0 - 18 mo; 19 - 36 mo,,
Little Munchkin Daycare Ltd.,Group Daycare (under 36 mths),2205 West 15 Avenue,604-655-1895,inquiry@littlemunchkindaycare.ca,https://littlemunchkindaycare.ca/,English,0 - 18 mo; 19 - 36 mo,,
Little Munchkin Daycare Ltd. (Infant/Toddler),Group Daycare (under 36 mths),5981 Holland Street,604-655-1895,inquiry@littlemunchkindaycare.ca,,English,0 - 18 mo; 19 - 36 mo,,
Little Munchkin Daycare Ltd. (Multi-Age),Multi-Age Child Care,5979 Holland Street,604-655-1895,inquiry@littlemunchkindaycare.ca,,English,5 - 12 yrs; 2.5 - 5 yrs; 0 - 18 mo; 19 - 36 mo,,
Little Oak Montessori School,Group Daycare (30mths - School Age),3403 East 49th Avenue,778-928-8635,info.littleoakmontessori@gmail.com,http://www.littleoakchildcare.ca/,English,2.5 - 5 yrs,Montessori,
Little Owls Nest Licensed Family Child Care,Licensed Family Child Care,501 - 808 Nicola Street,778-385-8733,littleowlvan@gmail.com,,English,5 - 12 yrs; 2.5 - 5 yrs; 0 - 18 mo; 19 - 36 mo,,
Little People's Community Preschool,Preschool (30mths - School Age),2733 West 41st Avenue,604-261-2219,enrolment@littlepeople.ca,http://www.littlepeople.ca/,English; Mandarin; Cantonese,2.5 - 5 yrs,Play Based,
Little Rae Kids' Club,Group Care School Age,1155 Thurlow Street,604-687-2223,info@littlerae.com,,English; Cantonese; Korean,5 - 12 yrs,,Roberts Annex
Little Semlin Montessori,Group Daycare (30mths - School Age),2017 East 1st Avenue,604-620-9166,anne@semlinmontessori.ca,http://www.semlinmontessori.ca/,English,2.5 - 5 yrs,Montessori,
Little Smiles Childcare Centre - In-Home Multi-Age Child Care,In-Home Multi-Age Child Care,7983 Prince Albert Street,778-321-3246,kasthu_123@hotmail.com,,English,5 - 12 yrs; 2.5 - 5 yrs; 0 - 18 mo; 19 - 36 mo,,
Little Star Licensed Family Child Care,Licensed Family Child Care,2016 East 1st Avenue,604-253-4255,aliya2016@hotmail.com,,English; Urdu; Punjabi,2.5 - 5 yrs; 0 - 18 mo; 19 - 36 mo,,
Little Stars Childcare Center E58th,Group Daycare (under 36 mths),969 East 58th Avenue,778-889-9654,jamesmarshal@hotmail.com,,English,0 - 18 mo; 19 - 36 mo,,
Little Stars Childcare Centre,Group Daycare (30mths - School Age),143 East 64th Avenue,778-829-9650,jamesmashal@hotmail.com,,English,2.5 - 5 yrs,,
Little Sunshine In-Home Multi-Age Child Care,In-Home Multi-Age Child Care,120 West 62nd Avenue,604-327-8008,michelle8008@gmail.com,,English; Mandarin; Cantonese,2.5 - 5 yrs; 0 - 18 mo; 19 - 36 mo,,Sexsmith
Little Wonders In-Home Multi-Age Child Care,In-Home Multi-Age Child Care,2543 East 8th Avenue,604-565-6900,edithwf@hotmail.com,,English,2.5 - 5 yrs; 0 - 18 mo; 19 - 36 mo,,
Lobat's Place Licensed Family Child Care,Licensed Family Child Care,3175 West 14th Avenue,604-719-6798,lobatreisifard@gmail.com,,English; Farsi,2.5 - 5 yrs; 0 - 18 mo; 19 - 36 mo,,Carnarvon
Lord Roberts YMCA Kids Club,Group Care School Age,1100 Bidwell Street,604-683-4401,ymcakidsclubs@bc.ymca.ca,https://gv.ymca.ca/,English,5 - 12 yrs,,Roberts
Lord Tennyson Out of School Care,Group Care School Age,2650 Maple Street,604-733-5111,lordtennysonoutofschoolcare@gmail.com,,English; Mandarin; Punjabi; Italian,5 - 12 yrs,,Tennyson
Los Patitos In-Home Multi-Age Child Care,In-Home Multi-Age Child Care,185 West 45th Avenue,604-323-3723,lospatitoslc@gmail.com,,English; Spanish,2.5 - 5 yrs; 0 - 18 mo; 19 - 36 mo,,
Love Joy Peace Licensed Family Child Care,Licensed Family Child Care,8236 French Street,604-876-9943,Annawmso@gmail.com,,English; Mandarin; Cantonese,0 - 18 mo; 19 - 36 mo,,
Lovely Angels In-Home Multi-Age Child Care,In-Home Multi-Age Child Care,4947 Manor Street,778-689-3484,changrebe@gmail.com,,English; Korean,5 - 12 yrs; 2.5 - 5 yrs; 0 - 18 mo; 19 - 36 mo,,
Lovey's Little Angels Day Care In-Home Multi-Age Child Care,In-Home Multi-Age Child Care,5761 Chester Street,604-215-2214,lovey_bains@yahoo.ca,,Punjabi,5 - 12 yrs; 2.5 - 5 yrs; 0 - 18 mo; 19 - 36 mo,,
Lu's Child Care,Registered License-Not-Required Child Care,Euclid Avenue and Aberdeen Street,604-710-1861,,,English; Spanish,2.5 - 5 yrs,,
Ma Montessori Dayare & Preschool,Group Daycare (30mths - School Age),3078 Renfrew Street,236-986-9760,rmc.mamontessori@gmail.com,,English; Spanish,2.5 - 5 yrs,Montessori,St. Judes
MacKenzie YMCA Kids Club,Group Care School Age,960 East 39th Avenue,604-321-4802,ymcakidsclubs@bc.ymca.ca,https://gv.ymca.ca/,English; French,5 - 12 yrs,,Mackenzie
Madrona School Society,Group Care School Age,2064 West 10th Avenue,604-499-7303,info@madronaschool.com,http://www.madronaschool.com/,English,5 - 12 yrs,,Madrona Independent School
MaHa Licensed Family Child Care,Licensed Family Child Care,2988 East 52nd Avenue,778-968-5899,ice.0304@hotmail.com,,English,5 - 12 yrs; 2.5 - 5 yrs; 0 - 18 mo; 19 - 36 mo,,
Malkin Park YMCA Outdoor Adventures,Group Care School Age,3250 West 43rd Avenue,604-362-4952,ymcakidsclubs@bc.ymca.ca,https://gv.ymca.ca/,English,5 - 12 yrs,,Kerrisdale Annex
Maple Childcare Centre - Kitsilano Neighbourhood House,Group Daycare (30mths - School Age),1530 Maple Street,604-736-3588,amandag@kitshouse.org,http://www.kitshouse.org/,English,2.5 - 5 yrs,,
Maple Childcare Centre - Kitsilano Neighbourhood House (Infant & Toddler),Group Daycare (under 36 mths),1530 Maple Street,604-736-3588,amandag@kitshouse.org,http://www.kitshouse.org/,English,0 - 18 mo; 19 - 36 mo,,
Maple Grove YMCA Kids Club (School Age on School Grounds),Group Care School Age,1924 West 45th Avenue,604-363-7346,ymcakidsclubs@bc.ymca.ca,http://gv.ymca.ca/,English,5 - 12 yrs,,Maple Grove
Maple House Academy,Group Daycare (under 36 mths),2979 West 41st Avenue,604-275-6666,info.mhchildcare@gmail.com,,English; Mandarin; Cantonese,0 - 18 mo; 19 - 36 mo,Montessori; Reggio Inspired,
Maple Pathway Childcare Centre,In-Home Multi-Age Child Care,1329 Balfour Ave,778-434-5150,info@maplepathwaychildcare.com,http://www.maplepathwaychildcare.com/,English,5 - 12 yrs; 2.5 - 5 yrs,,
Maquinna YMCA Kids Club,Group Care School Age,2684 East 2nd Avenue,778-960-6427,ymcakidsclubs@bc.ymca.ca,https://gv.ymca.ca/,English,5 - 12 yrs,,Maquinna
Marguerite Out of School Care,Group Care School Age,4250 Marguerite Street,604-713-5960,mosc_coordinator@lmnhs.bc.ca,,English,5 - 12 yrs,,Shaughnessy
Marpole Montessori Preschool,Group Daycare (30mths - School Age),1296 West 67th Avenue,604-266-1091,bilingualmontessori@hotmail.com,,English; Mandarin; French; Cantonese,2.5 - 5 yrs,Montessori,
Marpole Neighborhood House Child Care and Early Learning Centre (Infant/Toddler),Group Daycare (under 36 mths),1338 West 67th Avenue,604-628-5663,community@marpolenh.org,http://www.marpolenh.org/,English,0 - 18 mo; 19 - 36 mo,,
Marpole Neighbourhood House Child Care and Early Learning Centre (30 Months to School Age),Group Daycare (30mths - School Age),1338 West 67th Avenue,604-628-5663,community@marpolenh.org,http://www.marpolenh.org/,English,2.5 - 5 yrs,,
Marpole Neighbourhood House Child Care and Early Learning Centre (School Age),Group Care School Age,1338 West 67th Avenue,604-628-5663,community@marpolenh.org,http://www.marpolenh.org/,English,5 - 12 yrs,,Lloyd George
Marpole Oakridge Family Place Society,Group Care School Age,8188 Lord Street,604-263-1405,info@mofp.org,https://mofp.org/basc-program-details/,English,5 - 12 yrs,,Laurier
Marpole Oakridge Family Place Society (MOFP),Preschool (30mths - School Age),8188 Lord Street,604-263-1405,tracyb@mofp.org,,English,2.5 - 5 yrs,,
Martha's Licensed Family Child Care,Licensed Family Child Care,7731 Montcalm Street,604-327-2451,martha.g2617@gmail.com,,English; Greek; Albanian,2.5 - 5 yrs; 0 - 18 mo; 19 - 36 mo,,Lloyd George
Marzanna's Montessori Preschool,Preschool (30mths - School Age),4824 Commercial Street,604-871-0620,Marzenabis@yahoo.com,,English; Mandarin; French; Cantonese; Polish,2.5 - 5 yrs,Montessori,
Maternelle 4 ans Queen Elizabeth Annex,Group Daycare (30mths - School Age),4275 Crown Street,604-713-5482,,,English; French,2.5 - 5 yrs,,
McGregor Child Care Centre - Over Three,Group Daycare (30mths - School Age),1155 East Broadway,778-783-5147,mcgregorccs@outlook.com,,English; Spanish; Tagalog; Cantonese,2.5 - 5 yrs,Play Based,
McGregor Child Care Centre (Infant/Toddler),Group Daycare (under 36 mths),1155 East Broadway,778-783-5147,mcgregorccs@outlook.com,,English; Spanish; Tagalog; Cantonese,19 - 36 mo,Reggio Inspired,
Meraki Learning Centre Licensed Family Child Care,Licensed Family Child Care,4147 West 15th Avenue,604-225-8383,danae.spittel@gmail.com,,English,2.5 - 5 yrs,,
Meta Montessori House,Group Daycare (30mths - School Age),3405 Worthington Drive,604-620-6347,phuong@metamontessori.com,http://www.metamontessori.com/,English,2.5 - 5 yrs,Montessori,
Mini Meadow Childcare,Group Daycare (30mths - School Age),2773 East 46th Avenue,604-568-1111,minimeadowedu@gmail.com,http://www.minimeadowedu.ca/,English,2.5 - 5 yrs,,
Mini Scholars Child Care (Multi-Age),Multi-Age Child Care,3429 Oxford Street,604-336-0609,info@minischolarschildcare.ca,,English,5 - 12 yrs; 2.5 - 5 yrs; 0 - 18 mo; 19 - 36 mo,,
Mis Amiguitos Licensed Family Child Care,Licensed Family Child Care,#9-3550 Adanac Street,604-732-6663,mercedesrovi@hotmail.com,,English; Spanish,2.5 - 5 yrs; 0 - 18 mo; 19 - 36 mo,,
MM Learning INC Victoria 61,Group Daycare (under 36 mths),2043 East 61st Avenue,778-895-3185,moberlychildcare@outlook.com,,English,0 - 18 mo; 19 - 36 mo,,
MM Learning Inc. Fraserview,Group Daycare (under 36 mths),2228 Fraserview Dr,778-895-3185,moberlychildcare@outlok.com,,English,0 - 18 mo; 19 - 36 mo,,
Moberly Childcare Centre,Group Daycare (under 36 mths),6905 Victoria Drive,778-895-3185,madeehaqaisar@hotmail.com,,English,0 - 18 mo; 19 - 36 mo,,
Moberly Childcare Centre,Group Daycare (under 36 mths),1052 East 61st Avenue,778-895-3185,madeehask@hotmail.com,,English,5 - 12 yrs; 2.5 - 5 yrs; 0 - 18 mo; 19 - 36 mo,,
Moberly Childcare Centre Inc. Prince Albert,Group Daycare (under 36 mths),7751 Prince Albert Street,778-895-3185,moberlychildcare@outlook.com,,English,0 - 18 mo; 19 - 36 mo,,
Moberly Childcare Learning Centre,Group Daycare (under 36 mths),700 East 59th Avenue,778-955-2743,moberlychildcare@outlook.com,,English,0 - 18 mo; 19 - 36 mo,,
Moloo's Learning Centre,Group Daycare (under 36 mths),1356 East 35th Avenue,778-955-2743,info@molooslearning.ca,,English,0 - 18 mo; 19 - 36 mo,,
Momiji Japanese School,Group Daycare (30mths - School Age),4010 Victoria Drive,604-874-7014,momijischool@hotmail.com,http://momijischool.com/,English; Japanese,2.5 - 5 yrs,,
Monarch Montessori Academy,Group Daycare (30mths - School Age),2079 West 30th Avenue,604-563-9511,info@monarchmontessori.ca,https://www.monarchmontessori.ca/,English,2.5 - 5 yrs,Montessori,
Monarch Montessori School,Group Daycare (30mths - School Age),4405 West 8th Avenue,604-563-9511,info@monarchmontessori.ca,http://www.monarchmontessori.ca/,English,2.5 - 5 yrs,Montessori,
Monkey Tree Montessori Preschool,Preschool (30mths - School Age),1394 Nanaimo Street,604-677-8339,monkeytreemontessori@gmail.com,http://monkeytreemontessori.com/,English,2.5 - 5 yrs,Montessori,
Monkeying Around Licensed Family Child Care,Licensed Family Child Care,214-1267 Marinaside Crescent,604-669-3127,jeja.mita@gmail.com,,English; Serbian,0 - 18 mo; 19 - 36 mo,,
Montessori and More Learning Centre,Group Daycare (30mths - School Age),2475 Franklin Street,604-312-0365,admin@montessoriandmore.ca,http://www.montessoriandmore.ca/,English,2.5 - 5 yrs,Montessori,
Montessori Bambini Licensed Family Child Care,Licensed Family Child Care,#101 - 1516 Burnaby Street,778-997-2554,montessoribambini.fcc@gmail.com,,English; German; Serbo-Croatian,2.5 - 5 yrs; 19 - 36 mo,Montessori,
Montessori Children's House,Preschool (30mths - School Age),6858 Fraser Street,604-322-5197,kayahern@telus.net,,English; Punjabi; French; Cantonese,2.5 - 5 yrs,Montessori,
Montessori World Daycare,Group Daycare (30mths - School Age),75 East 43rd Avenue,604-325-3301,,http://www.montessoriworld.ca/,English; Mandarin; French; Cantonese,2.5 - 5 yrs,Montessori,
Mosaic Montessori Preschool,Preschool (30mths - School Age),2268 Bayswater Street,604-734-1619,info@mosaicmontessorischool.com,http://www.mosaicmontessorischool.com/,English,2.5 - 5 yrs,Montessori,
Mount Pleasant NBH House Daycare,Group Daycare (30mths - School Age),800 East Broadway,604-879-8208,daycare@mpnh.org,,English; Mandarin; Tamil,2.5 - 5 yrs,,
Mount Pleasant NBH House Florence Nightingale Elementary Before and After School Care,Group Care School Age,2740 Guelph Street,604-910-8201,daycare@mpnh.org,http://www.mpnh.org/,English,5 - 12 yrs,,Nightingale
Mount Pleasant NBH Preschool,Preschool (30mths - School Age),800 East Broadway,604-879-8208,mhok@mpnh.org,,English; Mandarin; Italian,2.5 - 5 yrs,Play Based,
Mount Pleasant Neighbourhood House at Eric Hamber Secondary,Group Daycare (30mths - School Age),902 West 33rd Avenue,236-756-0010,lranasinghe@mpnh.org,https://mpnh.org/our-programs/childcare/,English,2.5 - 5 yrs,,
Mount Pleasant Neighbourhood House at Eric Hamber Secondary (Infant/Toddler),Group Daycare (under 36 mths),902 West 33rd Avenue,236-756-0010,childcareathamber@mpnh.org,https://mpnh.org/our-programs/childcare/,English,0 - 18 mo; 19 - 36 mo,,
Mount Pleasant Neighbourhood House Kid's Peak After School Care Program,Group Care School Age,800 East Broadway,604-879-8208  323,JBhullar@mpnh.org,http://www.mpnh.org/,English,5 - 12 yrs,,Dickens
Mount Pleasant YMCA Kids Club (School Age on School Grounds),Group Care School Age,2300 Guelph Street,604-872-2344,ymcakidsclubs@bc.ymca.ca,https://gv.ymca.ca/,English,5 - 12 yrs,,Mount Pleasant
My Whole Earth Academy,Preschool (30mths - School Age),208 - 2031 West 41st Avenue,778-379-1858,registrar@mywholeearth.ca,http://www.mywholeearth.ca/,English,2.5 - 5 yrs,,
My Whole Earth Academy,Group Care School Age,208 - 2031 West 41st Avenue,778-379-1858,registrar@mywholeearth.ca,https://www.mywholeearth.ca/,English,5 - 12 yrs,,
Nadi's Licensed Family Child Care,Licensed Family Child Care,#201-990 Broughton Street,604-689-1066,nadiafshar50@gmail.com,,English; Farsi,2.5 - 5 yrs; 0 - 18 mo; 19 - 36 mo,,
Nahar Licensed Family Child Care,Licensed Family Child Care,6329 Chester Street,604-620-5125,snkhan92@hotmail.com,,English; Urdu; Hindi; Arabic; Bengali,2.5 - 5 yrs; 0 - 18 mo; 19 - 36 mo,,
Nana Daycare Licensed Family Child Care,Licensed Family Child Care,518 East 59th Avenue,604-365-9239,nanadaycarevan@gmail.com,,English,5 - 12 yrs; 2.5 - 5 yrs; 0 - 18 mo; 19 - 36 mo,,
Nelson Park YMCA Kids Club,Group Care School Age,1155 Thurlow Street,778-237-6305,ymcakidsclubs@bc.ymca.ca,https://gv.ymca.ca/,English,5 - 12 yrs,,Roberts Annex
New Hope Childcare (3-5 Program),Group Daycare (30mths - School Age),2551 East 49th Avenue,604-321-6125,nhcc2002@gmail.com,,English,2.5 - 5 yrs,,
New Hope Out of School Care,Group Care School Age,2551 East 49th Avenue,604-321-6130,cabuhler56@gmail.com,,English; Spanish; Mandarin; Punjabi; Hindi; Cantonese,5 - 12 yrs,,Weir; Kingsford-Smith; Corpus Christi
Niki Child Care,Registered License-Not-Required Child Care,Oak Street and West 19th Avenue,604-742-0670,,,English; Farsi,2.5 - 5 yrs; 0 - 18 mo; 19 - 36 mo,,
Nini Licensed Family Child Care,Licensed Family Child Care,565 East 50th Avenue,604-876-6519,azarkhorramshahi@yahoo.ca,,English; Farsi,2.5 - 5 yrs; 0 - 18 mo; 19 - 36 mo,,
